s57code,osm_name
1, administration
2, airfield
3, anchor_berth
4, anchorage
5, beacon_cardinal
6, beacon_isolated_danger
7, beacon_lateral
8, beacon_safe_water
9, beacon_special_purpose
10, berth
11, bridge
12, building
13, built-up_area
14, buoy_cardinal
15, buoy_installation
16, buoy_isolated_danger
17, buoy_lateral
18, buoy_safe_water
19, buoy_special_purpose
20, cable_area
21, cable_overhead
22, cable_submarine
23, canal
24, canal_bank
25, cargo_area
26, causeway
27, caution_area
28, checkpoint
29, coastguard_station
30, coastline
31, contiguous_zone
32, continental_shelf
33, control_point
34, conveyor
35, crane
36, current
37, custom_zone
38, dam
39, daymark
40, deep_water_route_centreline
41, deep_water_route
42, depth_area
43, depth_contour
44, distance_mark
45, dock
46, dredged_area
47, dry_dock
48, dumping_ground
49, dyke
50, exclusive_economic_zone
51, fairway
52, wall
53, ferry_route
54, fishery_zone
55, fishing_facility
56, fishing_ground
57, floating_dock
58, fog_signal
59, fortified_structure
60, free_port_area
61, gate
62, gridiron
63, harbour_area
64, harbour
65, hulk
66, ice_area
67, incineration_zone
68, inshore_traffic_zone
69, lake
70, lake_shore
71, land_area
72, land_elevation
73, land_region
74, landmark
75, light
76, light_float
77, light_vessel
78, local_magnetic_anomaly
79, lock_basin
80, log_pond
81, magnetic_variation
82, marine_farm
83, military_area
84, mooring
85, navigation_line
86, obstruction
87, platform
88, production_area
89, oil_barrier
90, pile
91, pilot_boarding
92, pipeline_area
93, pipeline_overhead
94, pipeline_submarine
95, pontoon
96, precautionary_area
97, land_production_area
98, pylon
99, radar_line
100, radar_range
101, radar_reflector
102, radar_station
103, radar_transponder
104, calling-in_point
105, radio_station
106, railway
107, rapids
108, recommended_route_centreline
109, recommended_track
110, recommended_traffic_lane
111, rescue_station
112, restricted_area
113, retro_reflector
114, river
115, river_bank
116, road
117, runway
118, sand_waves
119, sea_area
120, seaplane_landing_area
121, seabed_area
122, shoreline_construction
123, signal_station_traffic
124, signal_station_warning
125, tank
126, slope_topline
127, sloping_ground
128, small_craft_facility
129, sounding
130, spring
131, square
132, territorial_baseline
133, submarine_transit_lane
134, swept_area
135, territorial_area
143, tideway
144, topmark
145, separation_line
146, separation_boundary
147, separation_crossing
148, separation_lane
149, separation_roundabout
150, separation_zone
151, tunnel
152, two-way_route
153, rock
154, unsurveyed_area
155, vegetation
156, water_turbulence
157, waterfall
158, weed
159, wreck
160, tidal_stream
